UniquePC,Date,Time,GroupNo,Group Condition,zTreeSubject,zTreePC,QualPC,IndiDec,TimeConfirmIndividualDecisionOK,Expl1,Expl2,Expl3,GrpDec,Age,Gender,GRP1,GRP2,GRP3,GRP3_rs,GRP4,GRP4_rs,GRP5,GRP5_rs,GRP6,GRP7,GRP7_rs,GRP8,GRP8_rs,GRP9,GRP9_rs,GRP10,GRP11,GRP12,GRP12_rs,GRP13,GRP14,GRP_total,MA,BLF1,BLF2,AC,CK,EI,Don,WA,V2,V3,V4,SC0_0,SC0_1,SC0_2,Q51,Q42,Q41_1,Q41_2,Q41_3,Q41_4,Q12_1,Q12_1_rs,Q12_2,Q12_2_rs,Q12_3,Q12_4,Q12_4_rs,Q12_5,Q12_5_rs,Q12_6,Q12_7,AOM_total,Q43_1,Q43_2,Q43_3,Q43_4,Q13,Q15,Q14,Q44_1,Q44_2,Q44_3,Q44_4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q45_1,Q45_2,Q45_3,Q45_4,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,EWV_ductile,EWV_elastic,Q46_1,Q46_2,Q46_3,Q46_4,Q16_1,Q16_2,Q16_2_rs,Q16_3,Q16_3_rs,Q16_4,Q16_5,Q16_6,Q16_6_rs,Q16_7,Q16_7_rs,Q16_8,Q16_9,Q16_9_rs,Q38_1,Q38_2,Q38_3,Q38_3_rs,Q38_4,Q38_4_rs,Q38_5,Q38_6,Q38_6_rs,Q38_7,Q38_7_rs,Q38_8,Q38_9,NFC_total,Q47_1,Q47_2,Q47_3,Q47_4,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q48_1,Q48_2,Q48_3,Q48_4,Q36_1,Q36_2,Q36_2_rs,Q36_3,Q36_4,Q36_4_rs,Q36_5,Q36_6,Q36_7,Q36_8,Q36_8_rs,Q39_1,Q39_1_rs,Q39_2,Q39_3,Q39_3_rs,Q39_4,Q39_4_rs,Q39_5,Q39_6,Q39_6_rs,Q39_7,STS_total,Q49_1,Q49_2,Q49_3,Q49_4,Q18,Q16_4,Q16_5,Q16_global,Q17_4,Q17_5,Q17_global,Q19_4,Q19_5,Q19_global,Q20_4,Q20_5,Q20_global,Q21_4,Q21_5,Q21_global,Q22_4,Q22_5,Q22_global,Q23_4,Q23_5,Q23_global,Q24_4,Q24_5,Q24_global,Q25_4,Q25_5,Q25_global,Q26_4,Q26_5,Q26_global,Q27_4,Q27_5,Q27_global,Q28_4,Q28_5,Q28_global,Q29_4,Q29_5,Q29_global,Q30_4,Q30_5,Q30_global,Q31_4,Q31_5,Q31_global,Q32_4,Q32_5,Q32_global,KPF_global_total,Q50_1,Q50_2,Q50_3,Q50_4,Q1,Q2,Q3
10,170516,1300,3,4,2,6,406,3,-1716,"First, i excluded the D diagram where emission is equal to absorption, because it would lead to no increase in concentration of carbon dioxide in 2100. I chose C because of the decline ",of the decline of the emission line and some regulation new tech would be applied more efficiently in the future., ,1,19,1,2,4,4,2,3,3,2,4,3,2,4,4,2,2,4,4,4,2,4,3,3,46,3,4,64,3,3,10%,10,group working and climate change,17/05/2016 12:53,17/05/2016 13:26,1,0,0,0,406,1,10.427,108.908,113.701,8,3,5,4,4,5,4,4,3,5,6,6,35,10.64,269.955,275.083,9,10,24,100,11.952,79.305,80.136,11,3,1,3,1,1,1,3,1,1,2,19.762,169.967,170.665,15,4,2,3,2,4,4,4,5,1,2,1,2,24,10,9.535,241.236,243.156,25,8,6,4,9,1,8,7,5,5,4,6,6,4,6,7,7,8,2,3,7,6,2,8,7,3,2,5,98,36.211,130.484,131.66,13,4,2,1,2,1,1,2,1,18.727,187.895,190.104,19,5,2,6,4,4,4,6,6,3,2,6,5,3,6,5,3,4,4,3,2,6,3,68,27.579,89.443,90.867,22,1,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,14,1.687,7.599,8.635,3,19,4,2
11,170516,1300,3,4,3,7,407,2,-1529,"I chose B because the amount of carbon used and the amount absorbed caould never be in equilibrium, one has to be larger than the other. And when refering to the amount of carbon ",emissions being produced right now its almost impossible for them to be an equilibrium. What is possible is to keep a constant amount of carbon emssions which will be slightly higher ,than the amount being absorbed,1,18,1,5,5,5,1,1,5,1,5,5,1,5,5,1,2,4,5,5,1,5,5,5,61,2,4,84,3,3,30%,10,This study is about making the participater become more aware of climate change and also make them realise how much they knew about the issue.,17/05/2016 12:53,17/05/2016 13:22,1,0,0,0,407,1,20.42,104.386,104.751,18,4,4,3,5,7,1,7,1,7,5,1,36,5.688,140.102,150.944,6,100,24,100,4.593,63.072,65.343,10,3,2,1,2,1,1,1,1,1,1,10.969,108.063,109.657,16,4,1,4,2,5,2,5,4,1,1,1,1,24,7,6.907,28.994,30.34,7,9,3,7,9,1,9,7,2,8,2,8,9,2,8,5,7,3,7,3,7,3,3,7,5,5,5,6,118,10.182,80.389,81.316,10,3,1,1,2,1,1,1,2,12.687,140.862,142.103,17,7,4,4,7,5,3,6,7,3,2,6,1,7,7,1,7,6,2,7,2,6,1,80,26.899,132.707,134.442,18,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,15,2.627,16.786,18.127,3,18,6,2
12,170516,1300,3,4,4,8,408,1,-1952,Atmospheric CO2 concentration has been increasing from pre-industrial Revolution levels of 280ppm to 400ppm today. If it requires to rach 420ppm in 2100 and the CO2 absorption remains,"the same, CO2 emission will have to be increasing all the time. In figure B, it would keep the same 400ppm till 2100. In figure C, the CO2 emission increases first and decreases, it won't ","reach 420ppm. In figure D, emissions ended up being the same as aborption, which causes the concentration reducing to 0. So A is the correct answer.",1,29,1,5,5,5,1,2,4,1,5,4,4,2,4,2,2,4,4,4,1,5,5,5,55,1,2,88,2,3,0%,5,It is an interesting study. I like the discussion part the most.,17/05/2016 12:52,17/05/2016 13:25,1,0,0,0,408,1,4.117,103.099,104.086,17,5,3,3,5,2,2,6,6,2,6,5,29,81.11,195.564,252.869,7,105,47,25,8.834,55.586,56.41,11,3,1,2,2,1,1,1,1,1,1,13.413,152.951,153.862,16,4,2,4,2,4,2,4,4,2,1,1,4,22,12,27.728,197.508,198.332,32,7,7,3,7,3,3,7,5,5,4,6,3,5,5,5,5,4,6,3,7,5,3,7,8,2,6,7,92,14.468,139.085,139.963,10,4,2,1,1,1,1,1,1,8.546,147.939,149.091,18,7,3,5,6,6,2,7,7,2,3,5,2,6,7,2,6,3,5,7,2,6,6,84,29.118,171.399,173.063,26,1,1,2,0,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,13,2.36,8.472,10.644,3,2,2,2
13,170516,1300,4,4,1,1,401,1,-2191,"as the CO2 concentration need to rise to 420ppm, the emission need to rise 2 with the  rise of absorption  from 4-5 Gt C/Y.",Emission can not growth can not be just stop like in Figure 4 B.,Figure 4-C& D will cause the decline of CO2 concentration.,4,28,1,3,3,2,4,1,5,1,5,5,1,5,1,5,1,5,5,5,4,2,2,3,57,3,4,92,3,3,50%,25,People's prevision about climate change.,17/05/2016 12:55,17/05/2016 13:27,1,0,0,0,401,1,29.074,252.923,253.909,10,2,6,1,7,4,1,7,4,4,7,7,42,16.719,127.165,459.991,3,5,47,0.2,7.579,74.418,76.167,10,3,1,2,2,1,1,2,1,1,1,27.876,142.834,143.939,12,5,1,2,1,3,5,2,5,1,1,1,1,22,6,32.204,198.175,200.454,29,9,1,9,9,1,1,5,9,1,5,5,5,9,1,9,9,9,1,1,9,1,2,8,9,1,9,2,86,17.56,96.374,100.219,9,4,1,1,1,1,1,2,2,12.274,181.079,182.381,15,7,1,7,4,1,7,7,7,1,1,7,1,7,7,7,1,1,7,7,1,7,4,87,63.545,139.159,141.208,16,1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,2,1,1,1,2,0,1,2,0,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,1,2,0,2,1,1,6,2.518,12.014,13.032,4,28,6,2
14,170516,1300,4,4,2,2,402,3,-1976,"I realise my answer was incorrect. It should be D, as there is room for only a 20 ppm increase between now and 2100. It is the only graph that shows a low enough difference between",emissions and absorption to result in that low an increase in the next 84 years. C would result in about a 100ppm increase. If i'm analytical and painfully honest I would have to admit,that I was probably distracted by the date (sorry!!).,4,47,1,5,5,4,2,2,4,1,5,2,3,3,4,2,2,4,2,2,3,3,4,5,48,4,3,40,3,2,20%,25,"Group dynamics, interactions, decision making, thinking strategies.",17/05/2016 14:11,17/05/2016 14:45,1,0,0,0,402,1,5.991,61.873,62.706,9,3,5,2,6,5,2,6,2,6,6,6,40,6.653,79.061,118.086,4,0.05,24,5,3.275,18.746,19.881,10,3,1,1,1,1,1,1,1,1,1,7.431,63.135,63.835,15,4,4,5,2,4,5,4,5,1,1,2,2,27,12,7.927,90.664,91.311,28,3,3,7,3,7,7,8,7,3,2,8,8,2,8,8,8,3,7,2,8,8,2,8,2,8,8,7,129,10.974,34.558,35.533,8,2,1,1,1,1,1,1,1,5.48,85.776,86.68,18,6,2,6,7,2,6,7,6,6,2,6,1,7,6,2,6,7,1,7,2,6,2,85,13.786,77.545,78.481,22,1,2,1,1,1,2,0,1,2,0,2,1,1,1,2,0,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,2,1,1,2,1,1,1,2,0,1,2,0,2,1,1,2,1,1,7,2.028,6.355,7.151,3,27,6,2
15,170516,1300,4,4,3,3,403,1,-1983,"I chose fig A because if the atmospheric co2 concentration rose by 20ppm to 420ppm, I think that it would mean that emissions would rise due to the limits of the ability for natural","absorbtion to take place leaving excess emissions in the atmosphere, therefore rising over the years. ", ,4,20,1,5,4,3,3,3,3,3,3,4,2,4,5,1,4,2,5,5,1,5,5,4,53,2,3,60,2,2,10%,25,Climate change and peoples attitudes towards it and how much people generally know and care about climate change. It also assesses willingness to work within group situations and consider other perspectives. ,17/05/2016 12:58,17/05/2016 13:15,1,0,0,0,403,1,3.905,62.855,63.785,13,4,4,2,6,4,3,5,4,4,7,4,34,8.59,102.172,122.405,5,10,47,100,3.723,29.738,40.537,10,2,1,3,1,1,1,2,1,1,2,11.335,66.565,68.727,16,4,3,5,1,4,5,4,4,2,3,1,2,26,12,11.049,131.197,133.455,34,7,4,6,3,7,5,7,5,5,2,8,5,3,7,6,5,5,5,7,3,5,3,7,7,3,6,8,105,12.356,56.443,58.145,9,3,2,1,1,1,1,3,1,5.251,95.348,96.199,17,6,3,5,6,4,4,6,7,6,4,4,1,7,7,2,6,1,7,7,2,6,7,91,19.809,65.649,68.867,16,1,2,1,1,1,2,0,1,2,0,1,2,0,2,1,1,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,1,2,0,7,2.485,10.717,13.369,3,20,2,2
16,170516,1300,4,4,4,4,404,2,-2116,"If we remain at the current rate of CO2 emission and don't increase it any more, I would think there would still be a slight increase to 420 ppm due to the current rate of increase, ","but then atmospheric CO2 should stabilize.  If we decrease from our current emission and absorption stays constant, I would expect there to be a decrease in atmospheric CO2","by 2100 rather than it stabilising.  If emission and absorption become equal, atmospheric CO2 would decrease.",4,21,1,5,5,2,4,2,4,1,5,4,3,3,4,2,3,3,5,4,2,4,3,5,56,2,5,92,3,2,20%,25,I learned more about climate change.  I enjoyed chatting in a group.  I think climate change needs to be addressed immediately and more people need to be educated in the matter (myself included).,17/05/2016 12:54,17/05/2016 13:18,1,0,0,0,404,1,3.517,91.219,92.868,24,4,4,1,7,7,2,6,1,7,5,4,40,18.099,139.738,221.605,3,5,47,1,6.437,60.78,62.268,12,1,1,1,3,1,1,1,1,1,3,13.612,88.532,89.775,13,4,1,4,1,4,5,5,5,1,1,1,1,27,6,11.705,130.561,131.199,30,7,3,7,3,7,4,6,4,6,5,5,7,3,7,3,3,3,7,1,9,7,2,8,5,5,6,7,111,9.106,54.535,55.643,9,4,1,1,1,1,3,1,1,10.759,96.819,97.532,21,6,2,6,7,1,7,7,7,6,1,7,1,7,7,1,7,1,7,7,1,7,6,101,12.047,64.993,66.923,16,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,13,2.285,9.053,9.465,4,21,6,2
17,170516,1430,5,4,1,5,405,4,-2135,The Emisssion rate has to equal the Absorption rate for the CO2 concentration to stabilize. D is the only graph where the emission rate = absorption rate, , ,4,18,2,3,4,2,4,3,3,1,5,2,5,1,4,2,3,3,4,2,3,3,4,3,43,4,4,88,3,3,30%,20,Humans understanding for Climate Change (Global Warming) and our Ability to understand interpert Data shown to us by Industry experts in this field,17/05/2016 14:13,17/05/2016 14:53,1,0,0,0,405,1,5.326,86.837,89.152,17,5,3,2,6,6,2,6,2,6,6,4,37,2.255,37.735,143.546,4,10,47,5,5.21,72.115,80.554,12,3,1,2,2,1,1,3,3,1,2,9.391,134.384,135.899,16,4,4,3,4,3,2,3,4,1,3,2,1,19,15,23.364,263.334,263.928,54,5,4,6,4,6,6,7,6,4,4,6,9,6,4,5,7,3,7,2,8,6,1,9,5,5,6,8,114,11.401,110.834,113.84,23,4,1,1,1,2,1,1,1,8.061,158.99,159.33,36,5,4,4,7,5,3,5,7,5,3,5,1,7,6,2,6,5,3,5,4,4,3,75,15.155,60.139,60.764,17,1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,0,1.417,11.145,12.165,6,18,3,1
18,170516,1430,5,4,2,6,406,4,-2173,"It was the only graph that ended with absorption rat equalling the emissions rate, which should happen to prevent the overall atmospheric level of rising. Its now at 400ppm so Im","guessing the next couple of years will see a slow down of emissions which still accrues CO2 in the atmosphere, hence making rise to 420ppm from the current 400 ppm.", ,4,29,2,5,4,1,5,5,1,1,5,3,5,1,5,1,2,4,1,1,1,5,5,4,45,4,4,80,3,3,0%,5,Peoples attitudes towards climate change and how to change public opinion of the curent status of climate change efforts,17/05/2016 14:14,17/05/2016 14:46,1,0,0,0,406,1,4.116,50.98,51.99,15,5,3,1,7,7,1,7,1,7,7,4,42,4.751,76.048,104.318,3,10,47,100,4.054,32.246,34.533,10,3,1,1,2,1,1,1,1,1,1,10.434,66.443,67.56,12,5,2,5,1,5,2,4,4,1,5,1,1,25,11,7.438,114.783,115.872,25,7,2,8,8,2,6,4,7,3,3,7,6,3,7,5,3,7,3,3,7,4,3,7,6,4,1,3,87,10.674,62.355,63.809,9,4,1,1,1,1,1,1,1,7.603,87.683,89.582,19,7,2,6,7,1,7,7,7,6,2,6,1,7,7,1,7,2,6,6,1,7,7,100,17.135,103.359,105.389,17,1,1,2,0,1,2,0,1,2,0,2,1,1,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,3,2.471,8.263,9.315,3,29,6,1
19,170516,1430,5,4,3,7,407,1,-2269,Graph A is correct because the question is asking for which graph shows where CO2 stabilises at 420 ppm by 2100. In Graph A the emissions reach a flat point in 2100. In the other ,"graphs, they show that the emissions are going down each year from 2000 or staying the same each year. However, from the information/scenario that we were provided, ",we know that the emissions are gradually rising from 400ppm per year to 420 so it is not possibly for the emissions to be decreasing or to be the same emissions each year.,4,25,1,4,4,4,2,3,3,2,4,4,1,5,3,3,2,4,5,5,2,4,4,4,55,4,5,96,3,3,30%,15,"I think this study was about investigating people's opinions on climate change and their understanding of the science of climate change. I think it was also about whether talking about climate change in a group can change people's views on climate change. I think this study is trying to extrapolate to the wider world whether if people who disagree on climate change come together and debate it, if the act of doing that will change their thoughts on it.\r\n",17/05/2016 14:14,17/05/2016 14:49,1,0,0,0,407,1,14.542,85.382,88.527,8,2,6,1,7,6,2,6,3,5,6,4,40,5.777,118.856,153.166,4,0.1,24,0.1,8.85,58.442,60.921,13,3,1,1,3,1,1,3,1,1,1,8.958,74.397,77.375,13,5,1,4,5,4,4,4,5,1,2,1,1,26,11,15.677,177.722,184.001,30,3,4,6,6,4,3,8,6,4,6,4,6,4,6,3,3,5,5,3,7,6,5,5,6,4,2,3,82,9.317,48.349,51.789,10,5,1,1,1,1,1,1,1,8.001,121.208,121.977,18,7,2,6,6,3,5,7,7,6,2,6,3,5,7,1,7,2,6,6,1,7,6,94,31.198,89.398,91.246,17,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,16,1.884,8.148,9.159,3,25,6,2
20,170516,1430,5,4,4,8,408,3,-2264,"I think figure C is correct because in order to stabilise the CO2 level by 2100, the CO2 emission will need to be reduced until almost equal to the absorption level.", , ,4,19,1,4,4,1,5,1,5,1,5,5,2,4,3,3,2,4,4,4,1,5,4,4,60,4,4,60,3,2,10%,20,In my opinion this study is about how people's decision is affected after discussing it with a group of other people.,17/05/2016 14:15,17/05/2016 14:47,1,0,0,0,408,1,8.659,49.547,50.742,7,6,2,2,6,5,2,6,2,6,5,4,34,4.032,33.295,83.409,3,5,47,20,4.822,54.197,61.267,10,2,1,1,2,1,1,3,1,1,1,13.773,87.116,88.783,13,4,2,3,2,4,3,4,4,2,3,2,3,22,14,13.791,139.389,141.331,19,5,3,7,3,7,5,5,6,4,3,7,5,4,6,5,4,6,4,2,8,4,3,7,3,7,5,5,100,12.753,72.352,83.144,9,3,1,1,1,1,3,3,3,14.783,124.822,126.782,15,6,5,3,4,5,3,4,5,4,2,6,2,6,5,3,5,2,6,5,4,4,4,70,19.377,78.616,80.033,16,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,16,2.202,7.098,9.582,3,19,3,2
21,170516,1430,6,4,1,4,404,4,-2365,Graph D shows the correct GtC/year needed to stablize atmospheric carbon at 420 at 2100 because it illustrates an equilibrium of carbon emissions with carbon absorption. ,"Unless these two meet, then atmospheric carbon will not stabilize but will keep increasing. ", ,4,20,1,5,4,4,2,3,3,1,5,3,4,2,5,1,1,5,5,4,2,4,2,4,49,4,4,96,3,3,20%,25,Analyzing how people view climate change and how readily they collaborate with others conceptions of climate change. ,17/05/2016 14:13,17/05/2016 14:46,1,0,0,0,404,1,9.387,54.475,56.413,10,3,5,1,7,6,1,7,3,5,7,4,41,8.693,60.453,102.302,5,10,24,200,3.831,97.871,102.674,12,3,1,2,2,1,1,2,2,1,2,19.322,86.874,88.109,13,5,2,4,1,2,4,3,5,1,1,1,1,23,7,4.514,106.532,108.029,27,4,3,7,3,7,5,8,3,7,2,8,7,2,8,7,6,3,7,2,8,6,1,9,6,4,7,6,121,5.773,38.733,40.909,9,4,1,1,1,1,1,1,1,9.521,98.649,99.698,16,7,1,7,7,1,7,7,7,6,2,6,1,7,7,1,7,2,6,7,3,5,3,96,13.431,64.303,65.985,18,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,16,2.054,7.39,8.65,3,20,6,2
22,170516,1430,6,4,2,1,401,3,-2397," CO2 concentration lies around 400ppm. Even if policies are established worldwilde, population growth moderates  efforts. ","That is why it is still gonna increase to be lowered hopefully in a few decades> Unfortunately,", human's nature is not ready to be able to find the equilibrium between concentreatiion and absorprtion. Especially because if we continue like the non-return point will be reached.,4,20,1,4,4,3,3,3,3,3,3,4,3,3,4,2,2,4,4,4,3,3,4,4,49,3,5,80,3,3,20%,10,CLimate change and Co2 concentration effect\r\n,17/05/2016 14:11,17/05/2016 14:48,1,0,0,0,401,1,11.576,57.717,69.494,8,5,3,2,6,5,2,6,2,6,5,6,37,11.823,95.293,104.912,5,10,24,100,3.517,50.452,51.841,10,3,1,1,2,1,2,1,2,1,2,9.391,90.636,103.117,15,5,1,5,1,4,4,4,4,1,2,1,1,26,7,11.625,126.382,128.896,23,7,6,4,4,6,4,6,4,6,3,7,7,3,7,8,5,3,7,2,8,8,2,8,2,8,6,6,118,22.285,83.707,85.178,10,4,1,1,1,1,3,1,1,8.352,129.621,131.851,19,5,2,6,5,5,3,6,7,6,5,3,2,6,6,4,4,3,5,4,3,5,4,75,22.22,65.787,67.604,16,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,16,4.304,5.735,6.955,2,,,
23,170516,1430,6,4,3,2,402,4,-2287,"After some thought, I would change my answer to B - because currently we are at 400.. which means by 2100 to the level of 420, the CO2 emmision must have had continue to increase",However the absorption of CO2 is the same.. so graph B much reflects this,Graph D would mean that the carbon ppm levels continued at 400 even at 2100,4,27,1,4,5,4,2,1,5,3,3,5,2,4,3,3,2,4,4,5,2,4,4,4,56,4,6,60,3,3,10%,25,Great! It will keep me thinking about climate change,17/05/2016 14:11,17/05/2016 14:45,1,0,0,0,402,1,5.991,61.873,62.706,9,3,5,2,6,5,2,6,2,6,6,6,40,6.653,79.061,118.086,4,0.05,24,5,3.275,18.746,19.881,10,3,1,1,1,1,1,1,1,1,1,7.431,63.135,63.835,15,4,4,5,2,4,5,4,5,1,1,2,2,27,12,7.927,90.664,91.311,28,3,3,7,3,7,7,8,7,3,2,8,8,2,8,8,8,3,7,2,8,8,2,8,2,8,8,7,129,10.974,34.558,35.533,8,2,1,1,1,1,1,1,1,5.48,85.776,86.68,18,6,2,6,7,2,6,7,6,6,2,6,1,7,6,2,6,7,1,7,2,6,2,85,13.786,77.545,78.481,22,1,2,1,1,1,2,0,1,2,0,2,1,1,1,2,0,2,1,1,1,2,0,1,2,0,1,2,0,1,2,0,2,1,1,2,1,1,1,2,0,1,2,0,2,1,1,2,1,1,7,2.028,6.355,7.151,3,27,6,2
24,170516,1430,6,4,4,3,403,3,-2226,because if we aim for an atomospheric concentration of 420 - the CO2 emmisions need to become less than they are at the moment. ,"if not the atmospheric concentration would grow & grow, as absortion is fixed and less than the current emissions, which increase the atmospheric concentration."," Nevertheless CO2 emissions need not to become equal to absorption, because then the atmospheric concentration would sink from year to year, as no new one is coming to it additionally",4,19,1,5,5,5,1,2,4,1,5,5,1,5,4,2,2,4,5,5,1,5,3,4,58,4,4,80,3,3,20%,12,clima change + decision making behaviour in a group + ability to react to other opinions and change my own one,17/05/2016 14:12,17/05/2016 14:44,1,0,0,0,403,1,5.363,53.358,54.856,12,6,2,1,7,6,4,4,3,5,6,5,35,8.557,49.316,52.149,5,10,47,5,3.331,27.074,28.306,10,2,1,3,1,1,1,1,1,1,1,8.445,68.948,70.014,15,4,2,5,2,3,3,4,4,2,5,2,3,23,16,12.95,125.454,126.63,34,5,2,8,2,8,7,9,3,7,1,9,5,1,9,7,8,4,6,3,7,7,1,9,4,6,5,8,130,11.809,44.444,45.594,8,3,2,1,1,1,1,1,1,7.178,86.211,87.267,15,6,3,5,6,6,2,6,5,4,2,6,2,6,6,2,6,3,5,6,4,4,4,77,13.475,74.443,76.378,17,1,2,1,1,1,2,0,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,1,2,0,2,1,1,1,2,0,2,1,1,1,2,0,2,1,1,2,1,1,1,2,0,2,1,1,10,1.794,7.69,8.935,4,19,3,2
25,180516,1300,7,4,1,1,401,4,-2293,"Assuming that one of the given graphs of emmision and absorption rates is correct, the only possible answer is D. For atmospheric CO2 concentrations to stabilise, there must be a","constant amount of CO2 in the atmospheric system, which means the rate at which the CO2 enters the system must be the same as the rate at which it leaves. The only graph that",depicts this situation is Figure D.,4,21,2,4,4,2,4,2,4,2,4,2,4,2,4,2,3,3,3,2,2,4,4,3,45,4,5,92,3,3,40%,0,"It seems it was trying to reflect the real world task of responding to anthropogenic climate change. We had to discuss the problem collaboratively, much like people and governments do in the real world.",18/05/2016 12:44,18/05/2016 13:20,1,0,0,0,401,1,6.843,74.334,80.335,11,3,5,2,6,6,1,7,3,5,7,5,41,1.969,78.244,104.511,7,10,47,5,10.284,50.366,52.349,11,3,1,2,2,1,1,2,1,1,2,9.921,136.664,138.796,14,5,3,4,1,2,4,3,5,1,2,1,2,23,10,6.8,174.308,178.582,31,6,3,7,4,6,7,6,8,2,2,8,8,4,6,4,6,5,5,5,5,7,4,6,6,4,5,5,103,23.452,96.013,97.149,11,5,1,1,1,1,1,1,1,22.781,171.255,172.584,18,5,4,4,5,1,7,7,7,6,2,6,2,6,6,2,6,4,4,7,3,5,6,87,23.397,81.622,87.23,16,1,1,2,0,1,2,0,1,2,0,2,1,1,2,1,1,1,2,0,1,2,0,1,2,0,2,1,1,1,2,0,2,1,1,2,1,1,1,2,0,1,2,0,2,1,1,2,1,1,7,1.841,15.113,20.46,5,21,4,1
26,180516,1300,7,4,2,2,402,3,-2292,Graph C shows a gradual decrease in CO2 emission from the year 2000 onwards. This is in line with the goal of stabilising CO2 concentration to 420ppm by 2100. The process and,"actions taken in reducing CO2 emission takes time before one could view the impact on the environment.  With other external factors being constant, the emission and absorption rate ",would be able to stabilise at 420ppm which is illustrated in Figure C.,4,21,1,3,5,5,1,4,2,1,5,5,1,5,5,1,2,4,5,5,3,3,5,5,54,4,4,80,2,2,30%,15,What people perceive about climate change and the causes and factors of this environmental problem.,18/05/2016 12:46,18/05/2016 13:18,1,0,0,0,402,1,11.693,63.983,65.64,10,3,5,1,7,5,3,5,3,5,5,4,36,4.617,108.455,141.785,4,10,24,100,7.171,53.674,57.521,11,2,1,1,3,2,2,1,1,2,1,17.172,101.954,103.836,13,3,2,3,2,4,4,3,4,2,3,2,3,21,14,9.6,106.511,107.689,20,6,4,6,6,4,5,4,4,6,4,6,5,4,6,3,5,6,4,6,4,6,4,6,6,4,3,4,87,13.158,87.299,90.13,9,4,2,1,2,1,1,1,3,7.251,87.945,88.931,16,5,4,4,5,6,2,5,4,3,3,5,4,4,5,2,6,4,4,5,2,6,4,67,30.66,169.592,171.209,24,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,13,2.22,7.269,9.433,4,21,3,2
