UniquePC,Unique participant code,,,,,,,,
Q6_7,Which of these activities cause increases in atmospheric greenhouse gases?-Destruction of forests,,,,,,,,
Q6_8,Which of these activities cause increases in atmospheric greenhouse gases?-Use of coal and oil by utilities and electric companies,,,,,,,,
Q6_9,Which of these activities cause increases in atmospheric greenhouse gases?-Depletion of ozone in the upper atmosphere,,,,,,,,
Q45_1,Timing-First Click,,,,,,,,
Q45_2,Timing-Last Click,,,,,,,,
Q45_3,Timing-Page Submit,,,,,,,,
Q45_4,Timing-Click Count,,,,,,,,
Q11_1,Please indicate how much you agree with each statement.-The natural environment will become unstable if humans exceed the limits identified by experts,,,,,,,,
Q11_2,Please indicate how much you agree with each statement.-The natural environment is capable of recovering from any damage humans may cause,,,,,,,,
Q11_3,Please indicate how much you agree with each statement.-The natural environment can be managed if there are clear rules about what is allowed,,,,,,,,
Q11_4,"Please indicate how much you agree with each statement.-Ultimately, there's nothing individuals can do to manage or change the natural environment",,,,,,,,
Q11_5,Please indicate how much you agree with each statement.-If the balance of the natural environment is upset the whole system will collapse,,,,,,,,
Q11_6,Please indicate how much you agree with each statement.-Conservation and protection is the most rational strategy for managing the natural environment,,,,,,,,
Q11_7,Please indicate how much you agree with each statement.-When pushed beyond the limits identified by experts the natural environment will not recover,,,,,,,,
Q11_8,Please indicate how much you agree with each statement.-We all have a moral obligation to protect the environment and consume fewer resources,,,,,,,,
Q11_9,"Please indicate how much you agree with each statement.-There's no point wasting time, energy and resources on trying to manage the natural environment",,,,,,,,
Q11_10,Please indicate how much you agree with each statement.-Individuals should have freedom of choice regardless of the environmental impacts,,,,,,,,
Q11_11,Please indicate how much you agree with each statement.-Human industry and technology has not caused significant damage to the natural environment,,,,,,,,
Q11_12,Please indicate how much you agree with each statement.-Humans can't control what happens in the natural environment,,,,,,,,
Q46_1,Timing-First Click,,,,,,,,
Q46_2,Timing-Last Click,,,,,,,,
Q46_3,Timing-Page Submit,,,,,,,,
Q46_4,Timing-Click Count,,,,,,,,
Q16_1,Please indicate how much you agree with each statement. There are no right or wrong answers.-I usually end up deliberating about issues even when they do not affect me personally.,,,,,,,,
Q16_2,Please indicate how much you agree with each statement. There are no right or wrong answers.-I try to anticipate and avoid situations where there is likely chance I will have to think in depth about something.,,,,,,,,
Q16_3,Please indicate how much you agree with each statement. There are no right or wrong answers.-I feel relief rather than satisfaction after completing a task that required a lot of mental effort.,,,,,,,,
Q16_4,Please indicate how much you agree with each statement. There are no right or wrong answers.-I prefer my life to be filled with puzzles that must be solved.,,,,,,,,
Q16_5,Please indicate how much you agree with each statement. There are no right or wrong answers.-I really enjoy a task that involves coming up with new solutions to problems.,,,,,,,,
Q16_6,"Please indicate how much you agree with each statement. There are no right or wrong answers.-I prefer to think about small, daily projects to long-term ones.",,,,,,,,
Q16_7,Please indicate how much you agree with each statement. There are no right or wrong answers.-Thinking is not my idea of fun.,,,,,,,,
Q16_8,Please indicate how much you agree with each statement. There are no right or wrong answers.-The idea of relying on thought to make my way to the top appeals to me.,,,,,,,,
Q16_9,Please indicate how much you agree with each statement. There are no right or wrong answers.-I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.,,,,,,,,
Q38_1,Please indicate how much you agree with each statement. There are no right or wrong answers.-I find satisfaction in deliberating hard and for long hours.,,,,,,,,
Q38_2,Please indicate how much you agree with each statement. There are no right or wrong answers.-I would prefer complex to simple problems.,,,,,,,,
Q38_3,Please indicate how much you agree with each statement. There are no right or wrong answers.-I only think as hard as I have to.,,,,,,,,
Q38_4,Please indicate how much you agree with each statement. There are no right or wrong answers.-It's enough for me that something gets the job done; I don't care how or why it works.,,,,,,,,
Q38_5,"Please indicate how much you agree with each statement. There are no right or wrong answers.-I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.",,,,,,,,
Q38_6,Please indicate how much you agree with each statement. There are no right or wrong answers.-Learning new ways to think doesn't excite me very much.,,,,,,,,
Q38_7,Please indicate how much you agree with each statement. There are no right or wrong answers.-I like tasks that require little thought once I've learned them.,,,,,,,,
Q38_8,Please indicate how much you agree with each statement. There are no right or wrong answers.-The notion of thinking abstractly is appealing to me.,,,,,,,,
Q38_9,Please indicate how much you agree with each statement. There are no right or wrong answers.-I like to have the responsibility of handling a situation that requires a lot of thinking.,,,,,,,,
Q47_1,Timing-First Click,,,,,,,,
Q47_2,Timing-Last Click,,,,,,,,
Q47_3,Timing-Page Submit,,,,,,,,
Q47_4,Timing-Click Count,,,,,,,,
Q7,Do you believe that the earth is getting warmer mostly because of human activity such as burning...,,,,,,,,
Q8,Which comes closest to your view on how we should address climate change?,,,,,,,,
Q9_1,Would you support the following policy proposals to mitigate global warming?-Shifting subsidies from fossil fuels to renewable energy,,,,,,,,
Q9_2,Would you support the following policy proposals to mitigate global warming?-Tax based on a vehicle's fuel economy,,,,,,,,
Q9_3,Would you support the following policy proposals to mitigate global warming?-A tax on energy used by businesses,,,,,,,,
Q9_4,Would you support the following policy proposals to mitigate global warming?-Mandatory reductions in Australia's greenhouse gas emissions,,,,,,,,
Q9_5,Would you support the following policy proposals to mitigate global warming?-Government regulation of carbon dioxide as a pollutant,,,,,,,,
Q9_6,Would you support the following policy proposals to mitigate global warming?-Increase in vehicle fuel economy standards,,,,,,,,
Q48_1,Timing-First Click,,,,,,,,
Q48_2,Timing-Last Click,,,,,,,,
Q48_3,Timing-Page Submit,,,,,,,,
Q48_4,Timing-Click Count,,,,,,,,
Q36_1,Please indicate how much you agree with each statement.-When I have to make a decision in my life I tend to see all kinds of possible consequences to each choice.,,,,,,,,
Q36_2,"Please indicate how much you agree with each statement.-Social problems, environmental problems, and economic problems are all separate issues.",,,,,,,,
Q36_3,Please indicate how much you agree with each statement.-I like to know how events or information fit into the big picture.,,,,,,,,
Q36_4,Please indicate how much you agree with each statement.-Only very large events can significantly change big systems like economies or ecosystems.,,,,,,,,
Q36_5,"Please indicate how much you agree with each statement.-All the Earth's systems, from the climate to the economy, are interconnected.",,,,,,,,
Q36_6,Please indicate how much you agree with each statement.-Everything is constantly changing.,,,,,,,,
Q36_7,"Please indicate how much you agree with each statement.-Adding just one more, small farm upstream from a lake can permanently alter that lake.",,,,,,,,
Q36_8,"Please indicate how much you agree with each statement.-When a boom or a crash happens in part of the world's economy, it is because someone intentionally planned or designed for it to run that way.",,,,,,,,
Q39_1,"Please indicate how much you agree with each statement.-Ultimately, we can break all problems down to what is simply right and wrong.",,,,,,,,
Q39_2,"Please indicate how much you agree with each statement.-The Earth, including all its inhabitants, is a living system.",,,,,,,,
Q39_3,Please indicate how much you agree with each statement.-Rules and laws should not change a lot over time.,,,,,,,,
Q39_4,Please indicate how much you agree with each statement.-If I make plans and control my behaviour I can accurately predict how my life will unfold.,,,,,,,,
Q39_5,Please indicate how much you agree with each statement.-Seemingly small choices we make today can ultimately have major consequences.,,,,,,,,
Q39_6,Please indicate how much you agree with each statement.-My health has nothing to do with what is happening in the world.,,,,,,,,
Q39_7,Please indicate how much you agree with each statement.-It is possible for a community to organise into a new form that was not planned or designed by an authority or government.,,,,,,,,
Q49_1,Timing-First Click,,,,,,,,
Q49_2,Timing-Last Click,,,,,,,,
Q49_3,Timing-Page Submit,,,,,,,,
Q49_4,Timing-Click Count,,,,,,,,
Q18,You will now be shown a series of three figures; one figure at the top and two below it. Please c...,,,,,,,,
Q16_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q16_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q17_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q17_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q19_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q19_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q20_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q20_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q21_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q21_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q22_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q22_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q23_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q23_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q24_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q24_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q25_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q25_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q26_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q26_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q27_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q27_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q28_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q28_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q29_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q29_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q30_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q30_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q31_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q31_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q32_4,Does the figure at the top resemble the left or right figure at the bottom more?-Global,,,,,,,,
Q32_5,Does the figure at the top resemble the left or right figure at the bottom more?-Local,,,,,,,,
Q50_1,Timing-First Click,,,,,,,,
Q50_2,Timing-Last Click,,,,,,,,
Q50_3,Timing-Page Submit,,,,,,,,
Q50_4,Timing-Click Count,,,,,,,,
Q1,What is your age?,,,,,,,,
Q2,Under which faculty is your degree-specific major?,,,,,,,,
Q3,What is your sex?,,,,,,,,
